Run_ID,Task_Type,Mode,Model,Epochs,Batch_Size,LR,Accuracy,Macro_F1,AUC,Off_By_1_Acc,Adj_Error_Ratio,Mid_Confusion_Ratio,MSE,MAE,Train_Time(s),Train_Speed(s/s),Eval_Time(s),Eval_Speed(s/s)
run_006,binary,Regression,roberta-base,4,4,1e-05,0.9772,0.9771,N/A,N/A,N/A,N/A,0.0203,0.0385,1812.07,70.35,14.96,266.85
run_007,5_class,Classification,roberta-base,3,16,2e-05,0.6507,0.6504,N/A,0.9721,0.9202,0.4268,N/A,N/A,546.92,218.04,5.22,963.03
run_005,3_class,Regression,roberta-base,3,4,1e-05,0.8344,0.7925,N/A,N/A,N/A,N/A,0.1415,0.2162,1715.12,69.53,19.84,253.32
run_007,binary,Classification,roberta-base,3,16,2e-05,0.9632,0.9631,0.9937,N/A,N/A,N/A,N/A,N/A,448.57,213.15,4.11,971.45
run_008,5_class,Classification,roberta-base,4,16,2e-05,0.6501,0.6504,N/A,0.9759,0.9312,0.4238,N/A,N/A,704.87,225.57,5.02,1001.61
run_008,binary,Classification,roberta-base,4,16,2e-05,0.9657,0.9656,0.9936,N/A,N/A,N/A,N/A,N/A,591.03,215.7,4.01,994.73
run_007,3_class,Classification,roberta-base,3,16,2e-05,0.8259,0.7824,N/A,N/A,N/A,N/A,N/A,N/A,539.5,221.04,5.16,974.53
run_006,3_class,Regression,roberta-base,4,4,1e-05,0.8356,0.7864,N/A,N/A,N/A,N/A,0.1412,0.2152,2216.72,71.73,18.86,266.42
run_008,3_class,Classification,roberta-base,4,16,2e-05,0.8219,0.7703,N/A,N/A,N/A,N/A,N/A,N/A,718.13,221.41,5.09,987.42
run_009,binary,Classification,roberta-base,3,8,2e-05,0.9734,0.9734,0.995,N/A,N/A,N/A,N/A,N/A,726.43,131.62,7.73,516.67
run_009,5_class,Classification,roberta-base,3,8,2e-05,0.6792,0.6772,N/A,0.9785,0.933,0.4256,N/A,N/A,905.56,131.69,9.8,513.01
run_010,binary,Classification,roberta-base,4,8,2e-05,0.9752,0.9751,0.9967,N/A,N/A,N/A,N/A,N/A,931.2,136.9,7.47,534.71
run_010,5_class,Classification,roberta-base,4,8,2e-05,0.6746,0.6754,N/A,0.9801,0.9388,0.4318,N/A,N/A,1193.6,133.21,9.88,508.73
run_009,3_class,Classification,roberta-base,3,8,2e-05,0.8378,0.7988,N/A,N/A,N/A,N/A,N/A,N/A,910.46,130.98,9.89,508.22
run_010,3_class,Classification,roberta-base,4,8,2e-05,0.8354,0.7975,N/A,N/A,N/A,N/A,N/A,N/A,1192.71,133.31,9.58,524.33
run_011,5_class,Classification,roberta-base,3,4,2e-05,0.6848,0.6841,N/A,0.9795,0.935,0.435,N/A,N/A,1655.24,72.04,19.36,259.59
run_011,binary,Classification,roberta-base,3,4,2e-05,0.9762,0.9761,0.9971,N/A,N/A,N/A,N/A,N/A,1357.75,70.42,15.41,259.13
run_012,5_class,Classification,roberta-base,4,4,2e-05,0.6794,0.6802,N/A,0.9813,0.9417,0.4389,N/A,N/A,2279.15,69.76,19.13,262.72
run_012,binary,Classification,roberta-base,4,4,2e-05,0.977,0.9769,0.9972,N/A,N/A,N/A,N/A,N/A,1824.62,69.87,15.4,259.22
run_007,5_class,Regression,roberta-base,3,16,2e-05,0.6338,0.6329,N/A,0.9719,0.9234,0.4212,0.3872,0.4521,539.03,221.23,5.06,993.54
run_011,3_class,Classification,roberta-base,3,4,2e-05,0.8396,0.8025,N/A,N/A,N/A,N/A,N/A,N/A,1651.47,72.21,18.96,265.06
run_007,binary,Regression,roberta-base,3,16,2e-05,0.9674,0.9673,N/A,N/A,N/A,N/A,0.0303,0.0545,446.4,214.19,4.21,949.34
run_008,5_class,Regression,roberta-base,4,16,2e-05,0.6414,0.6384,N/A,0.9713,0.9201,0.4112,0.4037,0.4555,719.66,220.94,5.09,986.92
run_008,binary,Regression,roberta-base,4,16,2e-05,0.9654,0.9653,N/A,N/A,N/A,N/A,0.0327,0.0591,592.55,215.15,4.15,962.86
run_007,3_class,Regression,roberta-base,3,16,2e-05,0.8163,0.7675,N/A,N/A,N/A,N/A,0.1681,0.2397,556.01,214.47,5.32,943.89
run_012,3_class,Classification,roberta-base,4,4,2e-05,0.8416,0.803,N/A,N/A,N/A,N/A,N/A,N/A,2243.19,70.88,18.86,266.43
run_008,3_class,Regression,roberta-base,4,16,2e-05,0.8185,0.7761,N/A,N/A,N/A,N/A,0.1735,0.2329,717.99,221.45,5.08,989.54
run_009,5_class,Regression,roberta-base,3,8,2e-05,0.6647,0.6621,N/A,0.9777,0.9335,0.419,0.342,0.4269,888.69,134.19,10.02,501.57
run_009,binary,Regression,roberta-base,3,8,2e-05,0.9752,0.9751,N/A,N/A,N/A,N/A,0.024,0.0497,748.89,127.67,7.99,499.89
run_010,5_class,Regression,roberta-base,4,8,2e-05,0.6543,0.6518,N/A,0.9781,0.9367,0.4231,0.3503,0.4276,1166.31,136.33,9.51,528.18
run_010,binary,Regression,roberta-base,4,8,2e-05,0.9762,0.9761,N/A,N/A,N/A,N/A,0.0226,0.0471,998.15,127.72,8.12,491.8
run_009,3_class,Regression,roberta-base,3,8,2e-05,0.8364,0.7981,N/A,N/A,N/A,N/A,0.1413,0.2177,891.55,133.75,10.18,493.82
run_010,3_class,Regression,roberta-base,4,8,2e-05,0.8354,0.7964,N/A,N/A,N/A,N/A,0.1514,0.2387,1177.2,135.07,10.04,500.35
run_011,5_class,Regression,roberta-base,3,4,2e-05,0.6699,0.6676,N/A,0.9807,0.9415,0.4225,0.3372,0.4178,1691.9,70.48,19.41,258.85
run_011,binary,Regression,roberta-base,3,4,2e-05,0.9772,0.9771,N/A,N/A,N/A,N/A,0.0216,0.046,1384.82,69.04,15.54,256.87
run_012,5_class,Regression,roberta-base,4,4,2e-05,0.6627,0.6629,N/A,0.9807,0.9428,0.4501,0.3359,0.4278,2251.42,70.62,19.65,255.67
run_012,binary,Regression,roberta-base,4,4,2e-05,0.9767,0.9766,N/A,N/A,N/A,N/A,0.0222,0.0475,1812.35,70.34,15.37,259.72
run_001,5_class,Classification,bert-base-uncased,3,16,1e-05,0.63,0.6288,N/A,0.963,0.8999,0.4169,N/A,N/A,501.39,237.84,5.1,984.5
run_001,binary,Classification,bert-base-uncased,3,16,1e-05,0.9529,0.9528,0.9911,N/A,N/A,N/A,N/A,N/A,414.62,230.6,3.96,1009.33
run_011,3_class,Regression,roberta-base,3,4,2e-05,0.8388,0.7962,N/A,N/A,N/A,N/A,0.1415,0.2101,1680.72,70.95,19.61,256.28
run_002,5_class,Classification,bert-base-uncased,4,16,1e-05,0.6275,0.6255,N/A,0.9628,0.9001,0.4087,N/A,N/A,682.15,233.09,5.11,982.91
run_002,binary,Classification,bert-base-uncased,4,16,1e-05,0.9504,0.9503,0.9905,N/A,N/A,N/A,N/A,N/A,577.7,220.68,4.2,949.64
run_001,3_class,Classification,bert-base-uncased,3,16,1e-05,0.8072,0.7631,N/A,N/A,N/A,N/A,N/A,N/A,510.55,233.57,5.08,989.55
run_012,3_class,Regression,roberta-base,4,4,2e-05,0.8384,0.8011,N/A,N/A,N/A,N/A,0.1493,0.2134,2246.55,70.78,19.25,261.09
run_002,3_class,Classification,bert-base-uncased,4,16,1e-05,0.8074,0.763,N/A,N/A,N/A,N/A,N/A,N/A,694.05,229.09,5.07,990.85
run_003,5_class,Classification,bert-base-uncased,3,8,1e-05,0.6515,0.6505,N/A,0.9753,0.9292,0.4352,N/A,N/A,859.91,138.68,10.06,499.48
run_003,binary,Classification,bert-base-uncased,3,8,1e-05,0.9672,0.9671,0.994,N/A,N/A,N/A,N/A,N/A,722.78,132.29,7.89,506.13
run_004,5_class,Classification,bert-base-uncased,4,8,1e-05,0.6523,0.6516,N/A,0.9743,0.9262,0.4282,N/A,N/A,1151.53,138.08,9.81,512.37
run_004,binary,Classification,bert-base-uncased,4,8,1e-05,0.9684,0.9683,0.9935,N/A,N/A,N/A,N/A,N/A,928.55,137.29,7.57,527.24
run_003,3_class,Classification,bert-base-uncased,3,8,1e-05,0.8225,0.7769,N/A,N/A,N/A,N/A,N/A,N/A,835.64,142.71,9.42,533.21
run_004,3_class,Classification,bert-base-uncased,4,8,1e-05,0.8241,0.7793,N/A,N/A,N/A,N/A,N/A,N/A,1201.92,132.29,10.18,493.82
run_005,5_class,Classification,bert-base-uncased,3,4,1e-05,0.6617,0.6606,N/A,0.9763,0.93,0.4382,N/A,N/A,1613.47,73.91,18.99,264.65
run_005,binary,Classification,bert-base-uncased,3,4,1e-05,0.9699,0.9698,0.9952,N/A,N/A,N/A,N/A,N/A,1328.38,71.98,15.51,257.35
run_006,5_class,Classification,bert-base-uncased,4,4,1e-05,0.6611,0.6591,N/A,0.9761,0.9295,0.4334,N/A,N/A,2215.86,71.75,19.71,254.89
run_001,5_class,Regression,bert-base-uncased,3,16,1e-05,0.6165,0.6179,N/A,0.9678,0.9159,0.4302,0.4273,0.4828,517.16,230.58,5.05,995.54
run_006,binary,Classification,bert-base-uncased,4,4,1e-05,0.9692,0.9691,0.9947,N/A,N/A,N/A,N/A,N/A,1745.42,73.04,15.25,261.79
run_001,binary,Regression,bert-base-uncased,3,16,1e-05,0.9512,0.951,N/A,N/A,N/A,N/A,0.0374,0.0691,409.57,233.44,3.87,1031.56
run_005,3_class,Classification,bert-base-uncased,3,4,1e-05,0.8269,0.7839,N/A,N/A,N/A,N/A,N/A,N/A,1662.93,71.71,19.6,256.32
run_002,5_class,Regression,bert-base-uncased,4,16,1e-05,0.6121,0.6135,N/A,0.9668,0.9143,0.4228,0.4299,0.4853,689.54,230.59,5.06,993.75
run_001,3_class,Regression,bert-base-uncased,3,16,1e-05,0.7964,0.7421,N/A,N/A,N/A,N/A,0.1891,0.2589,511.37,233.19,5.2,966.61
run_002,binary,Regression,bert-base-uncased,4,16,1e-05,0.9529,0.9528,N/A,N/A,N/A,N/A,0.0386,0.0571,557.27,228.76,3.99,999.38
run_006,3_class,Classification,bert-base-uncased,4,4,1e-05,0.8273,0.7839,N/A,N/A,N/A,N/A,N/A,N/A,2144.97,74.13,18.51,271.51
run_002,3_class,Regression,bert-base-uncased,4,16,1e-05,0.7988,0.7456,N/A,N/A,N/A,N/A,0.1863,0.2589,715.02,222.37,5.3,948.74
run_003,binary,Regression,bert-base-uncased,3,8,1e-05,0.9692,0.9691,N/A,N/A,N/A,N/A,0.0268,0.055,701.29,136.34,7.89,506.03
run_003,5_class,Regression,bert-base-uncased,3,8,1e-05,0.6346,0.6357,N/A,0.9759,0.9341,0.4336,0.3825,0.4572,887.23,134.41,10.46,480.27
run_004,5_class,Regression,bert-base-uncased,4,8,1e-05,0.6378,0.6385,N/A,0.9757,0.933,0.4297,0.3833,0.4544,1216.34,130.72,10.27,489.28
run_004,binary,Regression,bert-base-uncased,4,8,1e-05,0.9662,0.9661,N/A,N/A,N/A,N/A,0.0281,0.057,928.83,137.25,7.81,510.87
run_003,3_class,Regression,bert-base-uncased,3,8,1e-05,0.8169,0.7673,N/A,N/A,N/A,N/A,0.1627,0.2422,881.25,135.32,10.24,490.65
run_004,3_class,Regression,bert-base-uncased,4,8,1e-05,0.8183,0.7713,N/A,N/A,N/A,N/A,0.16,0.2471,1153.4,137.85,9.89,508.19
run_005,5_class,Regression,bert-base-uncased,3,4,1e-05,0.6428,0.6433,N/A,0.9775,0.937,0.4301,0.3709,0.4483,1677.13,71.1,20.28,247.74
run_005,binary,Regression,bert-base-uncased,3,4,1e-05,0.9677,0.9676,N/A,N/A,N/A,N/A,0.0253,0.0491,1291.74,74.02,14.87,268.48
run_006,5_class,Regression,bert-base-uncased,4,4,1e-05,0.6482,0.6485,N/A,0.9787,0.9395,0.427,0.3651,0.4417,2152.28,73.88,18.57,270.6
run_006,binary,Regression,bert-base-uncased,4,4,1e-05,0.9672,0.9671,N/A,N/A,N/A,N/A,0.0258,0.0536,1778.31,71.69,15.24,261.86
run_007,5_class,Classification,bert-base-uncased,3,16,2e-05,0.6293,0.6284,N/A,0.966,0.9082,0.4192,N/A,N/A,519.95,229.35,5.14,977.2
run_007,binary,Classification,bert-base-uncased,3,16,2e-05,0.9579,0.9578,0.9915,N/A,N/A,N/A,N/A,N/A,414.94,230.43,4.05,984.69
run_008,5_class,Classification,bert-base-uncased,4,16,2e-05,0.6271,0.6226,N/A,0.962,0.8981,0.4136,N/A,N/A,669.35,237.54,4.86,1034.32
run_005,3_class,Regression,bert-base-uncased,3,4,1e-05,0.8173,0.7667,N/A,N/A,N/A,N/A,0.1597,0.2341,1626.21,73.33,19.12,262.78
run_007,3_class,Classification,bert-base-uncased,3,16,2e-05,0.8103,0.7703,N/A,N/A,N/A,N/A,N/A,N/A,516.09,231.06,5.06,993.08
run_008,binary,Classification,bert-base-uncased,4,16,2e-05,0.9552,0.9551,0.9916,N/A,N/A,N/A,N/A,N/A,564.5,225.84,4.24,941.39
run_008,3_class,Classification,bert-base-uncased,4,16,2e-05,0.8107,0.7675,N/A,N/A,N/A,N/A,N/A,N/A,654.76,242.84,4.87,1032.48
run_006,3_class,Regression,bert-base-uncased,4,4,1e-05,0.8225,0.7757,N/A,N/A,N/A,N/A,0.157,0.234,2167.52,73.36,19.29,260.45
run_009,binary,Classification,bert-base-uncased,3,8,2e-05,0.9667,0.9666,0.9946,N/A,N/A,N/A,N/A,N/A,687.17,139.14,7.51,531.59
run_009,5_class,Classification,bert-base-uncased,3,8,2e-05,0.6541,0.6546,N/A,0.9771,0.9338,0.4407,N/A,N/A,888.48,134.22,9.97,504.0
run_010,binary,Classification,bert-base-uncased,4,8,2e-05,0.9682,0.9681,0.9939,N/A,N/A,N/A,N/A,N/A,922.96,138.12,7.64,522.27
run_010,5_class,Classification,bert-base-uncased,4,8,2e-05,0.6579,0.6562,N/A,0.9737,0.9232,0.4316,N/A,N/A,1184.18,134.27,9.87,509.15
run_009,3_class,Classification,bert-base-uncased,3,8,2e-05,0.8259,0.7853,N/A,N/A,N/A,N/A,N/A,N/A,867.7,137.43,10.12,496.78
run_010,3_class,Classification,bert-base-uncased,4,8,2e-05,0.8243,0.7799,N/A,N/A,N/A,N/A,N/A,N/A,1132.58,140.39,9.52,528.04
run_011,5_class,Classification,bert-base-uncased,3,4,2e-05,0.6631,0.6615,N/A,0.9765,0.9303,0.4389,N/A,N/A,1631.18,73.11,19.44,258.52
run_011,binary,Classification,bert-base-uncased,3,4,2e-05,0.9704,0.9704,0.9956,N/A,N/A,N/A,N/A,N/A,1306.75,73.17,15.13,263.84
run_012,5_class,Classification,bert-base-uncased,4,4,2e-05,0.6675,0.6636,N/A,0.9749,0.9246,0.4189,N/A,N/A,2192.22,72.53,19.22,261.42
run_012,binary,Classification,bert-base-uncased,4,4,2e-05,0.9707,0.9706,0.9954,N/A,N/A,N/A,N/A,N/A,1816.41,70.19,15.97,250.01
run_007,5_class,Regression,bert-base-uncased,3,16,2e-05,0.6233,0.6253,N/A,0.968,0.9149,0.4258,0.4141,0.4728,516.33,230.96,5.28,951.01
run_011,3_class,Classification,bert-base-uncased,3,4,2e-05,0.83,0.7903,N/A,N/A,N/A,N/A,N/A,N/A,1610.16,74.06,18.82,266.99
run_007,binary,Regression,bert-base-uncased,3,16,2e-05,0.9562,0.9561,N/A,N/A,N/A,N/A,0.0374,0.0526,437.41,218.59,4.16,959.76
run_008,5_class,Regression,bert-base-uncased,4,16,2e-05,0.6167,0.6166,N/A,0.9644,0.9071,0.4195,0.4329,0.4758,686.54,231.6,5.09,987.89
run_008,binary,Regression,bert-base-uncased,4,16,2e-05,0.9549,0.9548,N/A,N/A,N/A,N/A,0.0394,0.0527,558.21,228.38,4.09,976.46
run_007,3_class,Regression,bert-base-uncased,3,16,2e-05,0.7954,0.7436,N/A,N/A,N/A,N/A,0.1866,0.2538,506.41,235.48,4.97,1012.05
run_012,3_class,Classification,bert-base-uncased,4,4,2e-05,0.8316,0.7875,N/A,N/A,N/A,N/A,N/A,N/A,2179.25,72.96,19.43,258.61
run_008,3_class,Regression,bert-base-uncased,4,16,2e-05,0.7978,0.748,N/A,N/A,N/A,N/A,0.193,0.2647,698.57,227.61,5.32,945.4
run_009,5_class,Regression,bert-base-uncased,3,8,2e-05,0.6458,0.6461,N/A,0.9765,0.9337,0.441,0.3729,0.4437,900.08,132.49,10.36,485.22
run_009,binary,Regression,bert-base-uncased,3,8,2e-05,0.9682,0.9681,N/A,N/A,N/A,N/A,0.026,0.0585,704.39,135.74,8.13,490.85
run_010,5_class,Regression,bert-base-uncased,4,8,2e-05,0.6484,0.6476,N/A,0.9751,0.9293,0.4341,0.3823,0.4449,1159.82,137.09,9.57,525.18
run_010,binary,Regression,bert-base-uncased,4,8,2e-05,0.9674,0.9673,N/A,N/A,N/A,N/A,0.0269,0.0678,952.86,133.79,7.71,517.95
run_009,3_class,Regression,bert-base-uncased,3,8,2e-05,0.8185,0.7771,N/A,N/A,N/A,N/A,0.1599,0.2344,860.02,138.66,9.9,507.81
run_010,3_class,Regression,bert-base-uncased,4,8,2e-05,0.8187,0.7779,N/A,N/A,N/A,N/A,0.1619,0.2429,1195.33,133.02,10.46,480.31
run_011,5_class,Regression,bert-base-uncased,3,4,2e-05,0.6583,0.6579,N/A,0.9785,0.9371,0.4298,0.359,0.4306,1617.53,73.72,18.95,265.21
run_011,binary,Regression,bert-base-uncased,3,4,2e-05,0.9702,0.9701,N/A,N/A,N/A,N/A,0.0243,0.0481,1321.06,72.38,15.55,256.68
run_012,5_class,Regression,bert-base-uncased,4,4,2e-05,0.6523,0.6504,N/A,0.9767,0.933,0.4167,0.3719,0.4339,2191.71,72.55,19.18,262.06
run_012,binary,Regression,bert-base-uncased,4,4,2e-05,0.9687,0.9686,N/A,N/A,N/A,N/A,0.0263,0.0372,1783.78,71.47,15.75,253.51
run_011,3_class,Regression,bert-base-uncased,3,4,2e-05,0.8285,0.7863,N/A,N/A,N/A,N/A,0.1552,0.227,1604.02,74.34,18.69,268.85
run_012,3_class,Regression,bert-base-uncased,4,4,2e-05,0.8249,0.7791,N/A,N/A,N/A,N/A,0.1615,0.2381,2158.42,73.67,18.89,266.04
